Poster_id,Strategy
SP7.1,Self-Efficacy
SP8.1,Threatening / Fear-driven
SA4.1,Threatening / Fear-driven
SA5.1,Threatening / Fear-driven
SA6.1,Self-Efficacy
SA7.1,Threatening / Fear-driven
SA8.1,Threatening / Fear-driven
SA9.1,Informational / Educational / Neutral
COPD1.1,Threatening / Fear-driven
COPD2.1,Threatening / Fear-driven
COPD3.1,Threatening / Fear-driven
COPD4.1,Threatening / Fear-driven
COPD5.1,Threatening / Fear-driven
COPD6.1,Threatening / Fear-driven
COPD7.1,Threatening / Fear-driven
COPD8.1,Threatening / Fear-driven
COPD9.1,Threatening / Fear-driven
COPD10.1,Threatening / Fear-driven
COPD11.1,Threatening / Fear-driven
COPD12.1,Informational / Educational / Neutral
HD1,Informational / Educational / Neutral
CF1.1,Threatening / Fear-driven
V7.1,Informational / Educational / Neutral
HIV1,Informational / Educational / Neutral
HIV1.1,Informational / Educational / Neutral
HIV2.1,Informational / Educational / Neutral
HIV3.1,Informational / Educational / Neutral
HIV4.1,Threatening / Fear-driven
N1,Threatening / Fear-driven
N1.1,Threatening / Fear-driven
N2.1,Threatening / Fear-driven
N3.1,Self-Efficacy
N4.1,Threatening / Fear-driven
MH1,Self-Efficacy
MH1.1,Self-Efficacy
MH2.1,Self-Efficacy
